order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
38,5788,2023-02-16,478,7,62.54,437.78,Cancelled,
39,5743,2024-01-26,322,1,458.79,458.79,Completed,2024-01-31
40,6558,2023-06-14,389,9,187.61,1688.49,Completed,2023-06-20
41,7842,2024-05-05,91,9,492.20,4429.80,Pending,
42,2558,2023-01-02,366,8,445.30,3562.40,Completed,2023-01-13
43,9077,2024-10-09,58,5,33.16,165.80,Completed,2024-10-12
44,7506,2023-01-19,108,6,113.33,679.98,Completed,2023-01-26
45,8451,2023-08-16,115,1,222.74,222.74,Cancelled,
46,815,2025-06-24,394,7,95.07,665.49,Completed,2025-07-02
47,9805,2024-10-18,300,10,125.44,1254.40,Completed,2024-10-22
48,5680,2024-02-26,146,10,416.21,4162.10,Completed,2024-03-04
49,1302,2024-07-31,134,7,235.19,1646.33,Completed,2024-07-31
50,7124,2024-03-03,195,9,496.17,4465.53,Completed,2024-03-10
51,6105,2024-05-18,36,9,266.20,2395.80,Completed,2024-06-01
52,1655,2024-03-17,44,7,125.28,876.96,Completed,2024-03-17
53,5753,2025-04-20,343,10,497.29,4972.90,Completed,2025-04-26
54,3396,2023-04-02,156,4,119.12,476.48,Cancelled,
55,8254,2025-08-12,25,8,299.96,2399.68,Completed,2025-08-14
56,267,2024-06-25,369,1,303.21,303.21,Pending,
57,5671,2023-08-08,220,6,233.27,1399.62,Completed,2023-08-11
58,7696,2023-09-05,361,8,359.44,2875.52,Completed,2023-09-05
59,3278,2024-07-24,51,7,418.83,2931.81,Completed,2024-07-31
60,1774,2023-04-21,304,3,121.95,365.85,Completed,2023-04-26
61,4640,2023-01-13,281,8,19.33,154.64,Completed,2023-01-26
62,1696,2023-05-22,74,5,415.53,2077.65,Completed,2023-05-27
63,4753,2023-03-01,173,6,237.61,1425.66,Pending,
64,5605,2024-06-03,152,10,324.72,3247.20,Cancelled,
65,598,2024-07-17,341,10,473.47,4734.70,Completed,2024-07-30
66,3421,2024-04-14,291,8,492.30,3938.40,Completed,2024-04-17
67,8527,2024-01-22,262,8,26.47,211.76,Pending,
68,1596,2025-03-28,201,4,364.40,1457.60,Pending,
69,4622,2024-11-18,128,9,167.04,1503.36,Completed,2024-11-18
70,451,2023-08-17,16,10,113.71,1137.10,Pending,
71,5127,2025-08-17,81,10,432.98,4329.80,Completed,2025-08-20
72,291,2024-08-04,252,5,50.38,251.90,Pending,
73,9280,2023-10-05,493,7,20.95,146.65,Completed,2023-10-11
74,6349,2024-12-10,79,9,108.99,980.91,Completed,2024-12-13
75,5886,2024-01-22,52,9,206.17,1855.53,Completed,2024-01-24
76,2381,2023-12-02,173,3,237.61,712.83,Completed,2023-12-12
77,6623,2023-09-13,29,1,486.08,486.08,Completed,2023-09-13
78,2125,2024-01-27,115,5,222.74,1113.70,Pending,
79,7670,2023-03-22,232,2,395.36,790.72,Completed,2023-04-01
80,6046,2025-04-25,266,10,67.46,674.60,Completed,2025-04-29
81,1676,2023-06-19,473,9,456.83,4111.47,Completed,2023-07-01
82,8305,2024-02-27,452,1,482.44,482.44,Completed,2024-03-04
83,7068,2025-05-20,23,9,50.00,450.00,Completed,2025-05-22
84,3564,2024-07-20,297,3,288.83,866.49,Completed,2024-07-24
85,4513,2024-07-24,249,10,346.69,3466.90,Pending,
86,6253,2023-12-01,410,4,52.92,211.68,Completed,2023-12-03
87,7761,2024-07-18,201,10,364.40,3644.00,Completed,2024-07-30
88,4618,2023-05-29,156,5,119.12,595.60,Completed,2023-05-31
89,4253,2024-07-03,356,9,490.61,4415.49,Pending,
90,8917,2023-03-14,429,7,490.05,3430.35,Completed,2023-03-17
91,7562,2024-01-11,121,8,471.66,3773.28,Pending,
92,681,2025-06-11,116,2,163.26,326.52,Completed,2025-06-12
93,8733,2024-01-25,17,3,411.79,1235.37,Completed,2024-02-04
94,9621,2025-03-17,416,2,441.76,883.52,Cancelled,
95,1992,2024-02-23,310,4,158.65,634.60,Completed,2024-02-23
96,6279,2025-08-11,44,1,125.28,125.28,Completed,2025-08-23
97,1516,2025-02-01,448,9,466.85,4201.65,Completed,2025-02-02
98,1671,2024-09-22,418,10,383.11,3831.10,Completed,2024-09-24
99,5167,2024-11-23,434,7,99.44,696.08,Cancelled,
100,9819,2024-02-24,74,5,415.53,2077.65,Completed,2024-03-03
101,9048,2023-02-16,343,4,497.29,1989.16,Completed,2023-02-19
102,4290,2025-02-12,41,5,118.33,591.65,Pending,
103,1143,2025-05-28,265,2,41.38,82.76,Pending,
104,9214,2023-12-17,325,2,51.26,102.52,Completed,2023-12-31
105,1408,2024-10-13,358,4,368.92,1475.68,Completed,2024-10-14
106,7290,2023-11-14,448,10,466.85,4668.50,Completed,2023-11-18
107,7380,2023-01-02,20,9,75.72,681.48,Completed,2023-01-11
108,4504,2025-07-13,406,1,210.73,210.73,Completed,2025-07-19
109,7426,2024-05-30,52,5,206.17,1030.85,Completed,2024-06-06
110,8628,2023-04-18,109,2,29.86,59.72,Pending,
111,4304,2024-02-04,415,6,293.76,1762.56,Completed,2024-02-08
112,5157,2023-06-06,243,3,455.15,1365.45,Cancelled,
113,7500,2025-03-20,168,8,116.72,933.76,Completed,2025-03-20
114,7455,2023-08-08,372,5,226.33,1131.65,Pending,
115,7369,2024-08-17,136,5,58.51,292.55,Completed,2024-08-26
116,8606,2023-08-24,231,1,315.98,315.98,Completed,2023-08-27
117,9969,2024-09-21,55,4,81.62,326.48,Completed,2024-09-25
118,1458,2023-03-14,96,7,158.10,1106.70,Cancelled,
119,71,2023-06-21,427,7,171.50,1200.50,Pending,
120,6990,2023-03-08,389,8,187.61,1500.88,Completed,2023-03-19
121,9119,2024-02-11,24,6,397.08,2382.48,Completed,2024-02-14
122,1436,2024-06-30,351,1,13.14,13.14,Pending,
123,9873,2025-03-16,208,6,435.50,2613.00,Completed,2025-03-17
124,2716,2024-02-02,165,4,248.41,993.64,Completed,2024-02-16
125,4729,2023-10-25,11,1,27.68,27.68,Completed,2023-11-02
126,6554,2024-07-28,238,10,483.80,4838.00,Completed,2024-08-03
127,9567,2024-06-04,418,9,383.11,3447.99,Completed,2024-06-08
128,8467,2024-10-27,36,8,266.20,2129.60,Pending,
129,4038,2023-02-24,208,2,435.50,871.00,Pending,
130,7472,2023-03-15,409,8,124.66,997.28,Pending,
131,7283,2023-11-17,249,4,346.69,1386.76,Completed,2023-11-26
132,5079,2025-04-15,305,4,80.67,322.68,Completed,2025-04-29
133,606,2025-08-11,228,9,373.86,3364.74,Pending,
134,1211,2025-02-16,227,2,285.13,570.26,Completed,2025-02-22
135,854,2023-06-24,19,5,110.25,551.25,Completed,2023-07-08
136,1521,2025-04-09,138,5,55.44,277.20,Completed,2025-04-14
137,5476,2023-10-14,435,10,346.80,3468.00,Completed,2023-10-17
138,3808,2024-08-01,120,9,429.08,3861.72,Completed,2024-08-12
139,6671,2023-06-15,360,6,490.51,2943.06,Completed,2023-06-18
140,9299,2023-01-28,56,8,369.19,2953.52,Completed,2023-02-10
141,3459,2025-07-17,373,4,499.08,1996.32,Completed,2025-07-17
142,908,2024-08-22,160,10,183.64,1836.40,Completed,2024-08-31
143,2951,2023-08-08,197,7,210.67,1474.69,Cancelled,
144,6323,2024-09-20,368,2,137.03,274.06,Cancelled,
145,7826,2024-04-10,332,8,185.33,1482.64,Completed,2024-04-13
146,9305,2024-12-12,445,5,477.53,2387.65,Completed,2024-12-26
147,2536,2025-01-10,140,9,268.71,2418.39,Completed,2025-01-12
148,3213,2025-05-16,406,9,210.73,1896.57,Completed,2025-05-24
149,6163,2023-09-07,440,6,306.99,1841.94,Cancelled,
150,2514,2024-02-02,444,8,288.87,2310.96,Completed,2024-02-10
151,7426,2023-03-22,340,2,227.41,454.82,Completed,2023-04-05
152,3956,2023-05-08,141,10,11.26,112.60,Completed,2023-05-22
153,7891,2025-08-17,470,10,346.69,3466.90,Completed,2025-08-17
154,7053,2024-10-18,4,6,255.15,1530.90,Completed,2024-10-19
155,7827,2024-04-18,447,4,374.93,1499.72,Completed,2024-04-27
156,2053,2023-12-14,61,2,311.59,623.18,Completed,2023-12-14
157,6443,2023-07-12,358,10,368.92,3689.20,Completed,2023-07-26
158,6079,2024-02-15,385,5,335.58,1677.90,Completed,2024-02-18
159,9709,2023-04-15,274,10,34.69,346.90,Completed,2023-04-19
160,5369,2025-06-13,185,8,319.22,2553.76,Pending,
161,3782,2023-05-16,307,4,323.28,1293.12,Completed,2023-05-23
162,1623,2024-02-12,371,9,303.30,2729.70,Cancelled,
163,9556,2023-05-10,495,3,337.65,1012.95,Completed,2023-05-19
164,898,2023-06-27,169,1,430.78,430.78,Completed,2023-07-03
165,879,2025-03-13,4,1,255.15,255.15,Completed,2025-03-25
166,1821,2023-12-01,342,1,210.37,210.37,Pending,
167,6949,2024-08-22,38,7,497.60,3483.20,Pending,
168,7532,2023-09-16,99,9,147.02,1323.18,Completed,2023-09-28
169,8426,2025-05-25,42,3,259.51,778.53,Cancelled,
170,3785,2024-07-23,1,1,321.52,321.52,Completed,2024-07-31
171,2293,2023-11-07,336,4,390.17,1560.68,Completed,2023-11-17
172,6152,2025-02-21,427,10,171.50,1715.00,Completed,2025-03-03
173,9187,2023-07-21,437,7,261.75,1832.25,Completed,2023-07-31
174,3573,2023-09-26,38,1,497.60,497.60,Completed,2023-10-04
175,2046,2023-09-08,253,8,30.04,240.32,Cancelled,
176,6762,2025-01-12,439,6,275.41,1652.46,Cancelled,
177,6865,2023-03-15,36,10,266.20,2662.00,Pending,
178,8689,2023-01-22,281,3,19.33,57.99,Completed,2023-01-28
179,3496,2024-02-12,385,2,335.58,671.16,Completed,2024-02-25
180,4710,2024-10-15,63,8,123.15,985.20,Completed,2024-10-25
181,3660,2024-02-28,425,1,305.10,305.10,Completed,2024-03-03
182,1907,2024-03-09,354,7,38.50,269.50,Completed,2024-03-17
183,3102,2024-02-28,163,10,145.75,1457.50,Completed,2024-03-12
184,7577,2023-09-07,223,5,321.27,1606.35,Pending,
185,2415,2024-12-31,116,10,163.26,1632.60,Completed,2025-01-09
186,3738,2023-05-24,338,3,437.69,1313.07,Cancelled,
187,8744,2025-07-22,77,7,275.07,1925.49,Completed,2025-07-23
188,2865,2024-08-20,195,10,496.17,4961.70,Completed,2024-08-24
189,9913,2025-05-15,434,10,99.44,994.40,Completed,2025-05-28
190,2711,2025-07-17,480,3,259.06,777.18,Completed,2025-07-26
191,6791,2024-12-01,390,5,442.70,2213.50,Completed,2024-12-09
192,4562,2025-02-03,390,4,442.70,1770.80,Completed,2025-02-13
193,7033,2023-04-26,393,9,341.65,3074.85,Completed,2023-05-09
194,1903,2023-08-16,39,5,64.90,324.50,Completed,2023-08-19
195,760,2024-12-25,219,5,343.15,1715.75,Pending,
196,8516,2024-05-05,13,6,85.51,513.06,Completed,2024-05-06
197,5472,2024-11-06,163,6,145.75,874.50,Completed,2024-11-18
198,915,2023-06-20,395,7,416.54,2915.78,Completed,2023-07-02
199,7889,2023-02-23,272,8,344.98,2759.84,Cancelled,
200,2814,2024-12-05,473,6,456.83,2740.98,Completed,2024-12-07
201,260,2023-08-30,366,5,445.30,2226.50,Cancelled,
202,7668,2025-06-26,87,2,178.82,357.64,Completed,2025-07-07
203,6502,2023-07-14,203,1,278.20,278.20,Completed,2023-07-19
204,8335,2023-01-07,153,2,150.65,301.30,Completed,2023-01-09
205,5235,2024-05-16,177,10,40.35,403.50,Completed,2024-05-23
206,3726,2025-03-26,370,8,55.79,446.32,Cancelled,
207,9360,2024-05-15,101,10,397.90,3979.00,Completed,2024-05-28
208,9485,2024-10-20,162,6,320.75,1924.50,Pending,
209,2393,2023-03-29,131,8,326.82,2614.56,Completed,2023-03-30
210,1055,2025-08-02,246,4,336.89,1347.56,Cancelled,
211,7472,2024-03-11,7,4,55.59,222.36,Completed,2024-03-13
212,5819,2023-04-17,202,8,433.30,3466.40,Completed,2023-04-18
213,2627,2025-05-20,187,9,208.76,1878.84,Completed,2025-05-22
214,3364,2024-07-10,107,1,78.05,78.05,Completed,2024-07-10
215,5923,2024-06-04,204,4,490.48,1961.92,Pending,
216,2395,2024-10-14,296,3,232.58,697.74,Completed,2024-10-22
217,2283,2025-07-19,262,8,26.47,211.76,Completed,2025-08-01
218,2807,2024-04-28,410,2,52.92,105.84,Pending,
219,8548,2024-10-13,269,4,361.82,1447.28,Pending,
220,7232,2025-02-19,118,7,206.76,1447.32,Cancelled,
221,4762,2023-01-03,279,6,116.95,701.70,Pending,
222,7733,2024-04-04,69,1,8.87,8.87,Pending,
223,369,2024-04-26,282,5,178.76,893.80,Pending,
224,4152,2025-01-03,425,2,305.10,610.20,Completed,2025-01-05
225,8030,2023-08-03,314,7,304.48,2131.36,Completed,2023-08-13
226,6481,2025-01-18,168,2,116.72,233.44,Completed,2025-01-29
227,5362,2024-12-27,181,6,303.84,1823.04,Pending,
228,320,2023-02-03,10,6,443.30,2659.80,Completed,2023-02-11
229,1882,2025-02-26,317,5,495.54,2477.70,Completed,2025-03-02
230,2112,2023-08-01,66,7,110.51,773.57,Completed,2023-08-12
231,781,2024-04-07,7,4,55.59,222.36,Completed,2024-04-09
232,2114,2025-02-02,124,6,336.09,2016.54,Pending,
233,8667,2023-07-14,119,1,417.28,417.28,Completed,2023-07-24
234,4452,2024-10-17,350,3,36.09,108.27,Completed,2024-10-21
235,3236,2024-08-11,234,6,104.39,626.34,Completed,2024-08-12
236,7123,2024-07-27,393,10,341.65,3416.50,Pending,
237,494,2024-03-01,443,10,467.18,4671.80,Pending,
238,6495,2025-07-10,114,2,384.08,768.16,Completed,2025-07-22
239,6985,2024-04-27,314,7,304.48,2131.36,Completed,2024-05-08
240,5007,2023-01-02,5,4,212.66,850.64,Completed,2023-01-06
241,6125,2023-01-20,143,5,220.57,1102.85,Pending,
242,6383,2024-08-17,51,7,418.83,2931.81,Completed,2024-08-24
243,71,2025-03-18,16,9,113.71,1023.39,Completed,2025-03-29
244,5428,2025-01-16,283,1,39.44,39.44,Pending,
245,1557,2024-08-17,251,7,34.97,244.79,Completed,2024-08-23
246,2785,2023-10-30,265,1,41.38,41.38,Completed,2023-10-31
247,1950,2023-01-19,184,1,327.50,327.50,Completed,2023-01-29
248,9992,2024-12-23,494,7,107.01,749.07,Completed,2024-12-29
249,1618,2025-05-06,375,4,476.63,1906.52,Pending,
250,2662,2024-12-15,363,6,260.11,1560.66,Completed,2024-12-18
251,2665,2023-11-29,69,9,8.87,79.83,Cancelled,
252,8245,2024-04-11,429,9,490.05,4410.45,Completed,2024-04-21
253,7292,2025-08-01,326,5,184.49,922.45,Completed,2025-08-05
254,939,2024-02-19,489,5,266.78,1333.90,Completed,2024-02-21
255,5569,2023-02-17,383,4,104.09,416.36,Completed,2023-03-01
256,1746,2025-03-05,45,2,52.98,105.96,Cancelled,
257,2608,2024-12-03,419,6,283.10,1698.60,Completed,2024-12-09
258,2975,2024-07-19,238,8,483.80,3870.40,Completed,2024-07-27
259,2903,2024-03-31,206,1,494.26,494.26,Completed,2024-04-04
260,8709,2023-01-21,301,1,435.91,435.91,Cancelled,
261,4174,2024-06-30,466,6,134.09,804.54,Completed,2024-07-14
262,8315,2025-05-06,4,10,255.15,2551.50,Completed,2025-05-14
263,7075,2023-05-15,35,5,68.55,342.75,Completed,2023-05-17
264,9981,2024-12-20,458,4,9.59,38.36,Completed,2024-12-25
265,4834,2023-07-05,339,6,426.33,2557.98,Completed,2023-07-05
266,5341,2024-03-29,378,6,341.14,2046.84,Completed,2024-04-03
267,7290,2025-05-23,254,10,38.96,389.60,Completed,2025-05-24
268,1753,2024-08-29,349,4,65.31,261.24,Completed,2024-09-10
269,8983,2025-02-15,115,1,222.74,222.74,Completed,2025-02-20
270,7664,2023-09-14,211,3,347.89,1043.67,Completed,2023-09-19
271,1706,2024-08-06,45,7,52.98,370.86,Pending,
272,5844,2025-07-22,496,9,204.12,1837.08,Completed,2025-07-22
273,1787,2023-06-21,450,6,116.71,700.26,Completed,2023-06-23
274,1906,2024-12-27,398,4,66.96,267.84,Completed,2025-01-04
275,9751,2025-07-26,398,7,66.96,468.72,Pending,
276,8422,2024-11-28,101,5,397.90,1989.50,Completed,2024-12-09
277,1153,2025-06-28,67,9,440.24,3962.16,Completed,2025-07-06
278,9613,2025-07-31,317,4,495.54,1982.16,Pending,
279,8124,2025-01-28,144,7,309.88,2169.16,Cancelled,
280,1915,2024-08-08,383,4,104.09,416.36,Completed,2024-08-17
281,7851,2023-04-18,296,10,232.58,2325.80,Pending,
282,5380,2025-07-23,357,7,175.68,1229.76,Cancelled,
283,3610,2025-02-05,109,9,29.86,268.74,Completed,2025-02-13
284,8505,2023-05-30,347,6,14.41,86.46,Completed,2023-06-07
285,5989,2024-06-08,376,9,22.23,200.07,Completed,2024-06-14
286,8398,2025-02-24,334,2,123.39,246.78,Completed,2025-02-28
287,3848,2024-12-14,497,10,254.43,2544.30,Completed,2024-12-17
288,839,2023-01-05,365,10,433.57,4335.70,Pending,
289,7705,2024-09-22,122,8,375.02,3000.16,Completed,2024-10-01
290,4870,2024-12-01,401,5,25.39,126.95,Completed,2024-12-15
291,4140,2025-05-20,446,5,477.88,2389.40,Completed,2025-05-20
292,7404,2023-06-24,207,10,482.59,4825.90,Cancelled,
293,6981,2025-08-06,70,7,469.77,3288.39,Completed,2025-08-11
294,4667,2024-04-07,335,4,187.08,748.32,Completed,2024-04-20
295,5811,2023-02-01,291,2,492.30,984.60,Completed,2023-02-15
296,4246,2025-07-30,128,6,167.04,1002.24,Completed,2025-08-07
297,3430,2024-10-03,472,10,230.21,2302.10,Completed,2024-10-13
298,9302,2024-09-12,380,1,128.56,128.56,Completed,2024-09-23
299,9377,2025-05-25,495,7,337.65,2363.55,Completed,2025-05-30
300,7381,2024-05-23,260,4,265.41,1061.64,Cancelled,
301,5405,2024-05-03,214,9,498.73,4488.57,Pending,
302,8623,2024-11-24,159,4,145.08,580.32,Cancelled,
303,639,2024-03-29,251,4,34.97,139.88,Pending,
304,1604,2024-02-02,413,8,236.07,1888.56,Completed,2024-02-03
305,3168,2023-01-03,162,1,320.75,320.75,Completed,2023-01-10
306,8321,2023-06-10,274,4,34.69,138.76,Completed,2023-06-12
307,3126,2023-01-14,102,9,145.47,1309.23,Completed,2023-01-17
308,3099,2023-12-15,210,10,42.04,420.40,Completed,2023-12-17
309,9083,2023-08-18,171,1,136.00,136.00,Completed,2023-08-19
310,2265,2023-06-12,477,7,270.65,1894.55,Completed,2023-06-19
311,3898,2023-10-19,161,6,140.78,844.68,Completed,2023-10-28
312,7381,2023-02-24,80,5,442.65,2213.25,Completed,2023-02-27
313,2289,2024-05-08,496,3,204.12,612.36,Completed,2024-05-15
314,1227,2023-12-04,150,7,280.12,1960.84,Completed,2023-12-18
315,547,2023-11-18,300,4,125.44,501.76,Completed,2023-11-23
316,5648,2023-02-12,356,8,490.61,3924.88,Cancelled,
317,2438,2024-04-26,19,1,110.25,110.25,Completed,2024-04-30
318,1207,2023-09-29,100,7,235.17,1646.19,Cancelled,
319,5906,2025-03-29,289,5,175.86,879.30,Completed,2025-04-04
320,1822,2024-07-31,393,3,341.65,1024.95,Pending,
321,4085,2024-10-12,475,10,226.14,2261.40,Pending,
322,2417,2023-11-29,245,1,121.23,121.23,Completed,2023-11-29
323,7170,2023-06-07,377,7,184.26,1289.82,Pending,
324,2767,2024-07-08,446,3,477.88,1433.64,Cancelled,
325,3881,2023-10-31,336,1,390.17,390.17,Completed,2023-11-04
326,6869,2023-01-05,286,6,47.05,282.30,Completed,2023-01-19
327,4206,2023-12-15,190,6,233.68,1402.08,Completed,2023-12-24
328,5456,2023-08-06,27,3,385.46,1156.38,Cancelled,
329,5454,2024-05-13,220,1,233.27,233.27,Completed,2024-05-25
330,8830,2023-08-10,311,5,42.98,214.90,Cancelled,
331,3803,2025-05-28,331,3,405.48,1216.44,Completed,2025-05-31
332,9447,2024-11-25,371,10,303.30,3033.00,Pending,
333,6735,2024-12-11,19,1,110.25,110.25,Completed,2024-12-22
334,4001,2024-11-07,205,10,26.61,266.10,Completed,2024-11-20
335,2329,2024-07-30,486,7,190.36,1332.52,Completed,2024-07-30
336,3011,2024-07-31,485,3,385.64,1156.92,Pending,
337,7277,2024-02-15,192,6,137.19,823.14,Completed,2024-02-16
338,7503,2024-10-20,396,10,164.72,1647.20,Pending,
339,7574,2024-11-25,13,2,85.51,171.02,Cancelled,
340,1767,2024-08-21,89,1,292.39,292.39,Pending,
341,3421,2024-04-13,130,5,14.59,72.95,Completed,2024-04-19
342,9817,2024-01-27,244,3,27.45,82.35,Cancelled,
343,2988,2023-07-18,373,2,499.08,998.16,Completed,2023-07-28
344,3894,2024-10-12,387,4,397.88,1591.52,Completed,2024-10-25
345,1189,2025-07-30,380,10,128.56,1285.60,Completed,2025-08-05
346,9985,2023-12-12,76,2,9.79,19.58,Pending,
347,3676,2023-06-27,13,8,85.51,684.08,Pending,
348,6847,2023-05-09,22,1,184.19,184.19,Completed,2023-05-23
349,2381,2024-03-31,262,4,26.47,105.88,Completed,2024-04-11
350,4584,2023-11-20,94,8,185.29,1482.32,Completed,2023-11-24
351,9170,2024-07-02,166,8,78.85,630.80,Completed,2024-07-16
352,7290,2025-08-13,405,3,152.23,456.69,Completed,2025-08-15
353,1019,2024-12-10,205,4,26.61,106.44,Completed,2024-12-20
354,8496,2023-06-21,426,1,85.44,85.44,Cancelled,
355,6905,2025-07-12,500,10,209.71,2097.10,Completed,2025-07-16
356,4239,2024-08-16,213,7,22.77,159.39,Completed,2024-08-21
357,2251,2023-01-14,380,5,128.56,642.80,Completed,2023-01-27
358,9304,2025-06-26,214,1,498.73,498.73,Completed,2025-07-09
359,4347,2023-09-21,226,3,15.86,47.58,Completed,2023-10-05
360,5614,2024-04-08,91,6,492.20,2953.20,Completed,2024-04-16
361,7632,2024-07-14,356,5,490.61,2453.05,Completed,2024-07-28
362,8788,2025-04-09,134,1,235.19,235.19,Completed,2025-04-20
363,9929,2024-04-24,140,7,268.71,1880.97,Completed,2024-05-01
364,867,2024-09-21,223,2,321.27,642.54,Pending,
365,8421,2025-08-01,257,10,129.07,1290.70,Completed,2025-08-03
366,8942,2023-03-04,157,3,475.68,1427.04,Completed,2023-03-16
367,9810,2023-05-31,70,9,469.77,4227.93,Completed,2023-06-14
368,6571,2025-02-13,352,2,149.18,298.36,Completed,2025-02-19
369,4214,2023-12-16,62,8,161.60,1292.80,Pending,
370,3210,2024-06-12,444,8,288.87,2310.96,Pending,
371,6951,2025-01-04,18,6,109.44,656.64,Completed,2025-01-10
372,8893,2023-03-18,264,1,424.41,424.41,Completed,2023-03-29
373,6577,2025-06-09,194,5,158.82,794.10,Cancelled,
374,9458,2023-05-28,430,6,300.47,1802.82,Completed,2023-06-04
375,9546,2025-06-20,269,4,361.82,1447.28,Completed,2025-06-22
376,4301,2023-09-01,69,9,8.87,79.83,Completed,2023-09-06
377,4425,2023-03-28,43,7,70.49,493.43,Completed,2023-04-06
378,9895,2023-09-25,44,10,125.28,1252.80,Completed,2023-10-03
379,324,2024-12-20,268,8,304.69,2437.52,Pending,
380,1942,2025-03-09,242,1,458.05,458.05,Completed,2025-03-20
381,6560,2023-02-10,249,2,346.69,693.38,Completed,2023-02-17
382,7657,2023-02-26,333,2,146.04,292.08,Completed,2023-03-05
383,4674,2024-03-10,30,5,421.63,2108.15,Completed,2024-03-18
384,9487,2024-04-08,191,8,379.44,3035.52,Completed,2024-04-19
385,2485,2024-11-16,332,5,185.33,926.65,Completed,2024-11-16
386,5367,2025-08-06,499,2,154.37,308.74,Pending,
387,9350,2024-04-25,474,1,382.12,382.12,Pending,
388,836,2025-01-24,418,2,383.11,766.22,Completed,2025-01-29
389,461,2023-02-19,372,3,226.33,678.99,Pending,
390,2435,2023-06-17,179,5,351.37,1756.85,Completed,2023-06-27
391,3763,2023-03-25,361,10,359.44,3594.40,Completed,2023-03-25
392,2821,2024-10-01,318,8,189.56,1516.48,Completed,2024-10-13
393,9881,2024-11-21,243,5,455.15,2275.75,Completed,2024-12-02
394,5469,2024-03-08,328,4,422.99,1691.96,Completed,2024-03-13
395,9749,2023-09-18,444,8,288.87,2310.96,Completed,2023-10-01
396,2737,2024-11-25,178,3,460.99,1382.97,Completed,2024-12-05
397,4226,2023-03-27,343,3,497.29,1491.87,Pending,
398,6627,2025-01-06,146,2,416.21,832.42,Completed,2025-01-09
399,7223,2025-03-16,150,1,280.12,280.12,Cancelled,
400,6003,2025-08-17,48,4,99.84,399.36,Completed,2025-08-29
401,3765,2025-03-26,445,8,477.53,3820.24,Completed,2025-04-07
402,6480,2024-12-04,380,10,128.56,1285.60,Completed,2024-12-13
403,7329,2024-11-23,195,9,496.17,4465.53,Pending,
404,6173,2023-11-24,393,1,341.65,341.65,Completed,2023-11-29
405,8134,2024-04-13,393,2,341.65,683.30,Completed,2024-04-17
406,9810,2024-06-17,337,1,401.62,401.62,Completed,2024-06-21
407,6406,2023-10-07,265,9,41.38,372.42,Pending,
408,9638,2023-08-05,314,1,304.48,304.48,Completed,2023-08-18
409,5529,2025-01-22,258,7,12.36,86.52,Completed,2025-01-22
410,5825,2023-01-28,228,5,373.86,1869.30,Completed,2023-02-06
