product_id,product_name,category,price,cost,stock_quantity,reorder_level
70,Inverse Mobile Adapter,Health,469.77,195.96,236,37
71,Customizable High-Level Workforce,Beauty,81.95,40.23,431,193
72,Integrated Disintermediate Approach,Automotive,105.78,70.57,540,139
73,Front-Line Non-Volatile Artificial Intelligence,Toys,129.31,103.97,104,33
74,Configurable Upward-Trending Matrix,Books,415.53,154.59,683,43
75,Cloned Well-Modulated Monitoring,Health,84.98,48.52,1445,119
76,Visionary Clear-Thinking Capacity,Home & Garden,9.79,3.79,1808,186
77,Switchable Methodical Neural-Net,Home & Garden,275.07,211.06,1192,151
78,Down-Sized Empowering Moderator,Beauty,217.74,80.76,746,20
79,Robust Interactive Data-Warehouse,Health,108.99,51.74,210,100
80,Quality-Focused Web-Enabled Superstructure,Sports,442.65,244.87,1271,49
81,Team-Oriented Dedicated Structure,Toys,432.98,362.88,1660,55
82,Integrated Impactful Secured Line,Sports,17.27,12.40,680,115
83,Streamlined Holistic Intranet,Electronics,137.07,101.94,221,107
84,Programmable Local Capability,Beauty,430.00,198.32,1672,127
85,Fully-Configurable Directional Architecture,Electronics,156.07,116.69,466,67
86,Mandatory 3Rdgeneration Parallelism,Books,331.72,182.19,570,27
87,Reactive Discrete Parallelism,Beauty,178.82,108.13,1391,147
88,Face-To-Face 24Hour Archive,Home & Garden,469.92,191.57,1987,76
89,Triple-Buffered Responsive Approach,Office Supplies,292.39,246.13,78,37
90,Focused Asymmetric Alliance,Office Supplies,220.11,157.22,642,121
91,Managed Asynchronous Migration,Sports,492.20,200.73,1842,157
92,Front-Line Even-Keeled Secured Line,Health,131.09,92.34,3,143
93,Pre-Emptive Didactic Moratorium,Sports,344.99,282.94,1509,181
94,De-Engineered Uniform Orchestration,Office Supplies,185.29,71.33,1360,94
95,Re-Engineered Methodical Encryption,Health,160.39,124.14,1474,86
96,Phased Incremental Core,Books,158.10,87.62,824,188
97,Cross-Platform Bandwidth-Monitored Protocol,Home & Garden,279.43,124.61,1361,107
98,Optional Heuristic Interface,Books,309.68,154.99,1122,10
99,Open-Source Maximized Superstructure,Beauty,147.02,83.06,1187,165
100,Business-Focused Systematic Projection,Automotive,235.17,134.30,437,140
101,Stand-Alone Bandwidth-Monitored Approach,Clothing,397.90,330.22,1507,53
102,Open-Architected Upward-Trending Graphical User Interface,Clothing,145.47,99.20,1268,95
103,Customer-Focused Dynamic Core,Sports,410.12,297.57,1377,89
104,Ergonomic National Knowledge User,Automotive,404.25,171.27,94,72
105,Devolved Interactive Contingency,Office Supplies,307.58,225.84,932,116
106,Grass-Roots Maximized Encryption,Sports,101.25,70.69,1012,112
107,Compatible Leadingedge Workforce,Toys,78.05,54.15,1828,37
108,Reactive Bandwidth-Monitored Application,Automotive,113.33,85.23,1425,142
109,Streamlined Needs-Based Access,Automotive,29.86,14.17,1737,41
110,Cross-Group Web-Enabled Encoding,Office Supplies,71.00,41.35,1087,153
111,Down-Sized Incremental Matrix,Health,162.06,117.92,906,166
112,Polarized Didactic Initiative,Automotive,216.24,173.73,913,50
113,Centralized Composite Implementation,Books,227.78,165.35,1720,173
114,Adaptive Human-Resource Firmware,Books,384.08,234.54,1283,71
115,Persevering Executive Interface,Beauty,222.74,157.42,480,79
116,Total Upward-Trending Toolset,Sports,163.26,101.23,283,48
117,Realigned Stable Structure,Toys,194.60,82.98,438,26
118,Pre-Emptive Coherent Core,Sports,206.76,128.46,851,25
119,Implemented Didactic Approach,Electronics,417.28,227.31,1576,159
120,Reduced User-Facing Moratorium,Electronics,429.08,314.43,779,132
121,Centralized Value-Added Functionalities,Health,471.66,235.50,798,117
122,Centralized Actuating Paradigm,Automotive,375.02,233.66,1235,66
123,Polarized Motivating Moderator,Beauty,113.61,64.52,59,109
124,Diverse Analyzing Migration,Automotive,336.09,251.76,1483,52
125,Configurable Contextually-Based Architecture,Toys,460.17,386.71,1093,16
126,Right-Sized Asymmetric Service-Desk,Toys,297.99,203.08,171,174
127,Front-Line Impactful Capability,Toys,72.17,41.92,102,76
128,Re-Contextualized Dynamic Paradigm,Books,167.04,96.44,691,107
129,Right-Sized 6Thgeneration Process Improvement,Automotive,377.24,288.96,516,30
130,Configurable Intangible Protocol,Sports,14.59,9.04,1949,99
131,Reduced Non-Volatile Model,Electronics,326.82,242.05,1334,20
132,Intuitive Empowering Database,Home & Garden,475.06,213.62,41,169
133,Synchronized Transitional Functionalities,Sports,123.08,72.22,234,154
134,Front-Line Empowering Infrastructure,Office Supplies,235.19,112.45,755,52
135,De-Engineered Static Project,Books,305.59,221.23,234,51
136,Innovative Logistical Functionalities,Toys,58.51,21.23,638,157
137,Versatile Asynchronous Access,Sports,201.34,142.45,155,161
138,Persevering Regional Open System,Office Supplies,55.44,40.82,1741,185
139,Cross-Platform Asynchronous Monitoring,Beauty,403.74,302.04,1159,20
140,Extended Motivating Firmware,Beauty,268.71,182.93,141,139
141,De-Engineered Grid-Enabled Architecture,Toys,11.26,6.31,1003,37
142,Fully-Configurable Holistic Forecast,Home & Garden,480.59,320.93,1697,127
143,Diverse Leadingedge Moratorium,Books,220.57,158.12,1977,176
144,Triple-Buffered Exuding Pricing Structure,Automotive,309.88,250.94,1586,133
145,Streamlined Multi-Tasking Access,Sports,220.61,157.85,549,92
146,Synchronized Neutral Framework,Sports,416.21,163.71,1805,125
147,Switchable Bi-Directional Challenge,Beauty,376.49,239.04,1368,107
148,Fundamental Bifurcated Benchmark,Sports,19.21,14.89,372,134
149,User-Friendly Neutral Collaboration,Books,180.64,86.56,572,162
150,Future-Proofed Executive Portal,Sports,280.12,170.40,391,31
151,Expanded Transitional Graphical User Interface,Automotive,361.44,214.80,1552,71
152,Expanded Systemic Productivity,Clothing,324.72,193.34,1623,14
153,Fundamental Motivating Matrix,Office Supplies,150.65,83.19,498,88
154,Function-Based Actuating Array,Health,187.67,117.62,704,118
155,Sharable Interactive Focus Group,Books,168.74,118.36,554,88
156,Balanced 24Hour Groupware,Health,119.12,84.65,646,40
157,Visionary Clear-Thinking Productivity,Automotive,475.68,330.64,392,65
158,Fundamental Cohesive Support,Office Supplies,141.87,91.48,1556,144
159,Organic Neutral Strategy,Sports,145.08,58.07,397,85
160,Optimized Next Generation Access,Home & Garden,183.64,92.03,1450,146
161,Customizable Asynchronous Solution,Home & Garden,140.78,117.86,1133,84
162,Distributed Needs-Based Alliance,Office Supplies,320.75,232.99,210,13
163,Multi-Layered Optimal Neural-Net,Electronics,145.75,85.90,697,57
164,Digitized Intermediate Capacity,Toys,129.98,101.49,233,26
165,Balanced Fault-Tolerant Hierarchy,Home & Garden,248.41,158.62,1405,23
166,Balanced Heuristic Database,Sports,78.85,49.79,622,31
167,Synergized Dynamic Secured Line,Office Supplies,63.63,46.59,1241,162
168,Customer-Focused Heuristic Time-Frame,Books,116.72,71.35,922,123
169,Realigned Incremental Process Improvement,Office Supplies,430.78,364.02,625,155
170,User-Friendly Coherent Encoding,Sports,34.81,28.90,203,63
171,Diverse Context-Sensitive Installation,Health,136.00,53.12,491,54
172,Assimilated Context-Sensitive Support,Office Supplies,42.16,14.81,922,186
173,Managed Zero Tolerance Installation,Books,237.61,87.04,590,190
174,Synchronized User-Facing Workforce,Books,352.98,203.67,1407,69
175,Fully-Configurable Encompassing Complexity,Toys,394.97,261.68,1354,60
176,Total Bi-Directional Implementation,Home & Garden,61.81,28.58,305,78
177,Automated Methodical Definition,Office Supplies,40.35,17.47,629,162
178,Exclusive Logistical Hardware,Books,460.99,262.57,959,186
179,Integrated Discrete Definition,Automotive,351.37,288.59,1024,148
180,Assimilated Stable Core,Beauty,221.69,143.88,1821,120
181,Open-Architected Full-Range Focus Group,Office Supplies,303.84,110.27,468,182
182,Cloned Zero Administration Focus Group,Books,295.63,106.54,1566,182
183,Monitored Secondary Migration,Health,290.24,212.33,358,130
184,Open-Architected Systematic Monitoring,Toys,327.50,264.63,371,159
185,Managed 4Thgeneration Budgetary Management,Beauty,319.22,190.21,186,130
186,Fundamental Context-Sensitive Paradigm,Beauty,207.13,105.75,214,51
187,Fundamental 5Thgeneration Benchmark,Health,208.76,124.79,1356,112
188,Right-Sized Intermediate Hardware,Clothing,23.17,9.13,516,92
189,Upgradable Zero Tolerance Functionalities,Health,485.24,267.90,1053,10
190,Optional Real-Time Migration,Office Supplies,233.68,88.12,1061,102
191,Customizable Human-Resource Orchestration,Sports,379.44,251.46,1556,23
192,Ergonomic Eco-Centric Analyzer,Automotive,137.19,57.00,589,122
193,Triple-Buffered Intermediate Ability,Home & Garden,65.11,54.47,1246,71
194,Programmable National Software,Sports,158.82,56.67,835,33
195,Up-Sized User-Facing Support,Home & Garden,496.17,400.14,945,40
196,Synchronized Dedicated Hierarchy,Books,251.70,178.28,1042,190
197,Optional Asymmetric Secured Line,Automotive,210.67,124.56,967,72
198,Managed Regional Functionalities,Health,277.88,150.55,1887,163
199,Switchable Bottom-Line Success,Toys,374.41,156.60,142,80
200,Innovative Motivating Function,Books,173.24,128.86,547,10
201,Synchronized Incremental Graphic Interface,Automotive,364.40,280.12,1187,178
202,Open-Architected Tangible Frame,Beauty,433.30,248.40,991,98
203,Reactive Clear-Thinking Core,Sports,278.20,172.96,932,92
204,Operative Static Implementation,Toys,490.48,230.23,784,69
205,Synergistic Value-Added Conglomeration,Toys,26.61,19.22,1444,107
206,Seamless Non-Volatile Framework,Automotive,494.26,368.82,1335,48
207,Open-Architected Neutral Ability,Beauty,482.59,199.37,1977,161
208,Innovative Executive Database,Health,435.50,342.78,901,35
209,Optional Zero Tolerance Paradigm,Home & Garden,455.67,162.98,295,114
210,Robust Solution-Oriented Graphic Interface,Office Supplies,42.04,31.14,542,96
211,Persistent Leadingedge Intranet,Health,347.89,234.80,1744,94
212,Synergistic Didactic Migration,Health,193.10,98.16,1471,134
213,Phased User-Facing Concept,Books,22.77,8.75,1292,185
214,Switchable Attitude-Oriented Forecast,Clothing,498.73,360.77,888,35
215,Profound Stable Productivity,Electronics,224.62,156.56,1850,17
216,Secured Full-Range Array,Toys,165.57,62.59,734,105
217,Versatile Disintermediate Service-Desk,Home & Garden,77.06,47.44,1159,184
218,Integrated Directional Workforce,Office Supplies,89.14,34.72,1783,107
219,Exclusive Client-Server Algorithm,Sports,343.15,205.49,1194,46
220,Balanced Dynamic Leverage,Electronics,233.27,111.27,522,180
221,Seamless Zero Administration Archive,Health,449.96,262.16,589,183
222,Persevering Intangible Product,Books,83.20,47.49,707,160
223,Re-Engineered Content-Based Structure,Books,321.27,180.61,512,126
224,Total Human-Resource Methodology,Sports,103.61,56.19,989,37
225,Open-Architected Dynamic Circuit,Books,193.78,102.60,605,189
226,Streamlined System-Worthy Ability,Electronics,15.86,12.13,810,80
227,Versatile Zero Administration Benchmark,Office Supplies,285.13,197.57,1525,22
228,Vision-Oriented Interactive Definition,Sports,373.86,286.53,1849,83
229,Enhanced Tangible Model,Office Supplies,305.50,160.74,1303,58
230,Persistent Actuating Open Architecture,Home & Garden,129.06,93.93,1571,178
231,Fully-Configurable Bottom-Line Knowledgebase,Books,315.98,253.32,1323,20
232,Devolved Maximized Secured Line,Home & Garden,395.36,144.97,747,197
233,Progressive Next Generation Policy,Home & Garden,49.62,24.69,1530,116
234,Intuitive Web-Enabled Intranet,Health,104.39,77.59,1794,103
235,Seamless Uniform Middleware,Automotive,253.39,123.21,336,75
236,Optimized Neutral Knowledge User,Clothing,483.86,240.75,1782,96
237,Diverse Value-Added Leverage,Toys,236.82,91.80,1544,67
238,Organized Empowering System Engine,Toys,483.80,363.96,749,33
239,Fully-Configurable Scalable Focus Group,Books,11.89,7.35,931,104
240,Visionary Zero-Defect Model,Clothing,294.36,224.07,1925,105
241,Pre-Emptive Responsive Encoding,Beauty,339.04,198.59,1268,153
242,Grass-Roots Leadingedge Archive,Automotive,458.05,211.02,129,172
243,Universal Executive Encoding,Home & Garden,455.15,228.07,836,39
244,Future-Proofed Full-Range Functionalities,Clothing,27.45,10.12,1008,39
245,Quality-Focused Attitude-Oriented Challenge,Beauty,121.23,75.01,795,126
246,Distributed Discrete Info-Mediaries,Toys,336.89,243.09,1937,148
247,Team-Oriented Coherent Strategy,Clothing,295.73,210.95,1813,116
248,Extended Asymmetric Instruction Set,Electronics,417.68,274.76,1923,81
249,Open-Source Full-Range Moratorium,Beauty,346.69,159.00,910,70
250,Persistent Intangible Approach,Beauty,54.18,37.54,1115,175
251,Expanded Intangible Info-Mediaries,Automotive,34.97,17.06,1982,41
252,Visionary Optimal Standardization,Electronics,50.38,22.98,1309,162
253,Ameliorated Well-Modulated Orchestration,Sports,30.04,15.52,257,154
254,Multi-Tiered Mission-Critical Ability,Sports,38.96,28.54,424,160
255,Multi-Channeled Exuding System Engine,Office Supplies,407.46,190.08,1585,47
256,Networked Intangible Monitoring,Health,6.40,4.99,296,43
257,User-Friendly User-Facing Moratorium,Home & Garden,129.07,56.44,1353,16
258,Robust Directional Matrix,Beauty,12.36,9.21,487,160
259,Face-To-Face Encompassing Internet Solution,Toys,12.81,6.18,259,199
260,Pre-Emptive 4Thgeneration Info-Mediaries,Beauty,265.41,191.85,975,124
261,Mandatory Static Service-Desk,Office Supplies,259.05,104.79,1031,66
262,Open-Architected Uniform Concept,Health,26.47,19.63,1775,178
263,Persistent Clear-Thinking Process Improvement,Automotive,154.31,103.64,63,25
264,Public-Key 4Thgeneration Infrastructure,Automotive,424.41,239.00,221,135
265,Reverse-Engineered Non-Volatile Protocol,Clothing,41.38,16.15,1245,47
266,Assimilated Attitude-Oriented Project,Beauty,67.46,44.67,1198,150
267,Optimized Client-Driven Local Area Network,Health,193.55,125.55,603,126
268,Enterprise-Wide Actuating Firmware,Health,304.69,121.75,1437,39
269,Multi-Tiered Fresh-Thinking Data-Warehouse,Toys,361.82,165.53,924,68
270,Persevering Fresh-Thinking Graphical User Interface,Clothing,172.77,99.65,851,196
271,Virtual Homogeneous Focus Group,Home & Garden,159.71,80.86,522,105
272,Versatile Intangible Extranet,Clothing,344.98,202.55,186,31
273,Configurable Methodical Adapter,Health,218.78,158.02,763,43
274,User-Friendly Needs-Based Application,Clothing,34.69,28.73,1150,94
275,Monitored Directional Projection,Electronics,208.35,163.93,1927,118
276,Cloned Zero-Defect Projection,Office Supplies,484.36,314.93,720,36
277,Balanced Web-Enabled Algorithm,Clothing,256.17,109.48,987,67
278,Fully-Configurable Dedicated Adapter,Office Supplies,178.31,112.00,235,81
279,Secured Coherent Encoding,Office Supplies,116.95,66.02,1148,169
280,De-Engineered Methodical Secured Line,Books,339.11,213.09,1247,178
281,Customizable Non-Volatile Data-Warehouse,Beauty,19.33,9.41,1561,89
282,Persistent Tangible Extranet,Toys,178.76,78.78,293,154
283,Visionary Holistic Concept,Clothing,39.44,28.42,1990,17
284,Robust Real-Time Synergy,Beauty,374.33,171.28,859,126
285,Universal Bifurcated Time-Frame,Office Supplies,82.92,41.94,664,155
286,Diverse Fault-Tolerant Benchmark,Electronics,47.05,17.71,322,168
287,Reduced 4Thgeneration Function,Automotive,338.61,164.58,1355,118
288,Re-Engineered Systematic Implementation,Clothing,305.50,170.19,441,141
289,Object-Based Transitional Customer Loyalty,Office Supplies,175.86,71.30,1388,183
290,Compatible Optimizing Solution,Toys,245.88,168.08,93,66
291,Self-Enabling Dynamic Benchmark,Sports,492.30,185.79,418,87
292,Total Zero Administration Framework,Clothing,384.84,281.73,592,93
293,Synergized Radical Workforce,Toys,8.83,6.39,359,43
294,Decentralized Non-Volatile Toolset,Beauty,268.63,124.93,1144,181
295,Balanced Grid-Enabled Monitoring,Electronics,40.68,31.76,86,121
296,Optimized Stable Hub,Toys,232.58,90.46,641,157
297,Cloned Motivating Project,Clothing,288.83,203.55,855,84
298,Mandatory 24/7 Instruction Set,Automotive,205.49,171.19,351,168
299,Pre-Emptive Bi-Directional Internet Solution,Clothing,416.85,337.60,180,121
300,Multi-Lateral Scalable Knowledgebase,Toys,125.44,80.84,1073,30
301,Triple-Buffered Coherent Internet Solution,Home & Garden,435.91,315.12,453,95
302,Enhanced Upward-Trending Model,Sports,42.81,28.54,1086,140
303,Streamlined Encompassing Pricing Structure,Home & Garden,453.43,237.91,1489,175
304,Public-Key Zero-Defect Matrices,Office Supplies,121.95,51.61,404,54
305,Persistent Intermediate Superstructure,Automotive,80.67,58.86,154,55
306,Reverse-Engineered Encompassing Graphic Interface,Office Supplies,234.66,148.27,1186,124
307,Fully-Configurable Background Focus Group,Beauty,323.28,272.61,661,170
308,Organized Dynamic System Engine,Books,79.72,30.63,905,171
309,Persistent Non-Volatile Pricing Structure,Clothing,399.18,257.76,720,139
310,Synchronized Homogeneous Graphical User Interface,Books,158.65,91.38,116,104
311,Assimilated Modular Graphic Interface,Office Supplies,42.98,33.62,1751,33
312,Enterprise-Wide Mobile Data-Warehouse,Electronics,299.07,162.17,1188,151
313,Multi-Channeled Empowering Graphical User Interface,Beauty,227.62,171.83,1334,58
314,Grass-Roots Radical Standardization,Automotive,304.48,182.89,1961,25
315,Grass-Roots Next Generation Access,Clothing,56.23,44.96,703,192
316,Programmable Content-Based Artificial Intelligence,Automotive,254.75,111.14,507,191
317,Front-Line Uniform Installation,Beauty,495.54,303.29,1248,50
318,Pre-Emptive Next Generation Task-Force,Office Supplies,189.56,93.16,837,96
319,Front-Line System-Worthy Leverage,Beauty,30.92,20.58,685,26
320,Stand-Alone Transitional Matrix,Office Supplies,51.78,35.69,581,74
321,Organized 3Rdgeneration Array,Home & Garden,437.27,225.93,1193,179
322,Implemented Directional Initiative,Toys,458.79,231.74,1343,188
323,Team-Oriented Dynamic Function,Health,68.83,48.49,173,89
324,Switchable Optimal Hub,Health,191.46,142.79,1665,42
325,Phased Neutral Moderator,Electronics,51.26,35.12,1041,102
326,Monitored Interactive Synergy,Automotive,184.49,81.20,438,97
327,Reactive Full-Range Help-Desk,Books,100.04,85.04,317,29
328,Total Logistical Flexibility,Health,422.99,169.44,1578,148
329,Integrated Eco-Centric Emulation,Home & Garden,23.69,12.28,1569,168
330,Decentralized Uniform Core,Office Supplies,300.64,128.41,370,187
331,Intuitive Bottom-Line Synergy,Toys,405.48,175.48,896,21
332,Public-Key Well-Modulated Solution,Office Supplies,185.33,131.54,1985,123
333,Enterprise-Wide Content-Based Data-Warehouse,Health,146.04,105.77,919,69
334,User-Centric Mission-Critical Focus Group,Sports,123.39,102.76,1606,130
335,Up-Sized Optimizing Task-Force,Books,187.08,154.07,902,128
336,Progressive Radical Forecast,Sports,390.17,234.67,857,51
337,Cross-Platform Content-Based Frame,Automotive,401.62,168.36,512,23
338,Focused High-Level Conglomeration,Health,437.69,274.55,210,192
339,Innovative 24/7 Strategy,Books,426.33,209.98,1562,51
340,Public-Key Clear-Thinking Focus Group,Clothing,227.41,137.97,1701,121
341,Balanced Actuating Neural-Net,Electronics,473.47,218.28,923,99
342,Implemented Tangible Capacity,Toys,210.37,115.33,765,70
343,Sharable Web-Enabled Matrix,Clothing,497.29,267.27,57,91
344,Customer-Focused 24/7 Orchestration,Home & Garden,420.39,283.76,1620,47
345,Horizontal Methodical Matrices,Home & Garden,23.96,19.38,967,188
346,Organic Global Contingency,Clothing,380.63,222.50,1260,11
347,Business-Focused Eco-Centric Matrices,Office Supplies,14.41,6.60,306,150
348,Customizable Asymmetric Initiative,Books,266.25,107.99,590,70
349,Pre-Emptive Asynchronous Orchestration,Automotive,65.31,30.65,1308,169
350,Self-Enabling Systemic Application,Health,36.09,27.73,1023,162
351,Distributed Coherent Workforce,Home & Garden,13.14,7.98,495,193
352,Re-Contextualized Exuding Artificial Intelligence,Office Supplies,149.18,52.33,722,71
353,Fully-Configurable Bottom-Line Open Architecture,Beauty,211.20,144.08,175,144
354,Virtual Intangible Portal,Health,38.50,23.60,1039,139
355,Right-Sized Regional Definition,Toys,15.07,11.85,89,172
356,Vision-Oriented Multi-State Implementation,Clothing,490.61,233.94,33,101
357,Organized Leadingedge Framework,Office Supplies,175.68,125.87,1286,36
358,Reverse-Engineered Interactive Function,Health,368.92,190.46,90,100
359,Re-Contextualized Regional Approach,Automotive,172.58,115.87,1700,185
360,Seamless User-Facing Attitude,Clothing,490.51,289.04,373,44
361,Virtual Demand-Driven Product,Sports,359.44,295.39,75,85
362,Extended Empowering Protocol,Books,26.68,12.00,85,90
363,Configurable Cohesive Encoding,Books,260.11,219.68,1112,131
364,Enhanced Neutral Archive,Electronics,23.13,15.58,585,101
365,Diverse 24Hour Installation,Toys,433.57,223.71,254,104
366,Organized System-Worthy Policy,Beauty,445.30,321.35,1832,108
367,Phased Explicit Alliance,Health,486.99,291.27,1018,104
368,Focused Executive Strategy,Toys,137.03,53.62,869,30
369,Horizontal Tangible Knowledgebase,Beauty,303.21,230.80,1117,85
370,Compatible Systemic Emulation,Automotive,55.79,28.67,605,88
371,Fundamental Zero Tolerance Utilization,Beauty,303.30,170.77,1412,123
372,Self-Enabling Optimizing Protocol,Office Supplies,226.33,161.46,1866,100
373,Exclusive Interactive Budgetary Management,Clothing,499.08,243.19,1620,24
374,Quality-Focused Directional Project,Home & Garden,337.24,186.53,1050,183
375,Distributed Encompassing Circuit,Automotive,476.63,200.85,1244,183
376,Compatible Analyzing Concept,Beauty,22.23,8.53,1594,175
377,Integrated Radical Synergy,Home & Garden,184.26,151.97,66,164
378,Re-Contextualized Executive Intranet,Clothing,341.14,281.24,761,123
379,Decentralized Maximized Solution,Books,289.09,177.71,815,90
380,Innovative Tangible Initiative,Automotive,128.56,52.29,1506,57
381,Future-Proofed Motivating Moratorium,Books,261.28,210.80,241,77
382,Proactive Leadingedge Artificial Intelligence,Automotive,353.50,161.65,1253,83
383,Right-Sized 6Thgeneration Internet Solution,Home & Garden,104.09,43.49,151,125
384,User-Centric Fresh-Thinking Portal,Beauty,449.85,257.56,179,184
385,Function-Based 4Thgeneration Array,Books,335.58,236.51,1126,148
386,Focused Systematic Orchestration,Home & Garden,446.21,346.12,1457,191
387,Reverse-Engineered 3Rdgeneration Task-Force,Home & Garden,397.88,240.47,248,61
388,Synergistic Encompassing Orchestration,Office Supplies,122.18,72.95,739,151
389,Balanced Well-Modulated System Engine,Office Supplies,187.61,141.05,1129,43
390,Enhanced Methodical Model,Automotive,442.70,169.50,815,193
391,Streamlined Leadingedge Focus Group,Clothing,265.22,194.83,1686,157
392,Enterprise-Wide Optimal Internet Solution,Automotive,67.04,34.09,151,125
393,Sharable Mobile Array,Office Supplies,341.65,178.43,1798,151
394,Phased Grid-Enabled Installation,Electronics,95.07,79.21,886,138
395,Managed Fresh-Thinking Secured Line,Home & Garden,416.54,253.69,622,52
396,Customer-Focused Cohesive Groupware,Books,164.72,116.07,708,142
397,Open-Source System-Worthy Methodology,Books,423.74,201.40,1300,151
398,Horizontal Stable Initiative,Health,66.96,33.57,1092,33
399,Virtual Neutral Alliance,Home & Garden,322.29,208.17,1189,49
400,Persevering Background Functionalities,Office Supplies,331.07,235.17,1239,96
401,Function-Based Fresh-Thinking Budgetary Management,Office Supplies,25.39,19.85,166,21
402,Visionary Impactful Migration,Office Supplies,136.00,61.94,1171,116
